,Position,Track Name,Artist,Streams,URL,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
93,94,いつか,Saucy Dog,251097,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT,0.0941,https://api.spotify.com/v1/audio-analysis/0v3iUTe5rskRsxbUhboRlT,0.603,274872,0.509,0v3iUTe5rskRsxbUhboRlT,0.0,7,0.201,-4.535,1,0.0263,79.989,4,https://api.spotify.com/v1/tracks/0v3iUTe5rskRsxbUhboRlT,audio_features,spotify:track:0v3iUTe5rskRsxbUhboRlT,0.445
94,95,あなたがいることで,Uru,248516,https://open.spotify.com/track/6baeV3RT4kpivo327DC3AM,0.683,https://api.spotify.com/v1/audio-analysis/6baeV3RT4kpivo327DC3AM,0.535,316453,0.502,6baeV3RT4kpivo327DC3AM,0.0,7,0.107,-4.953,1,0.0343,147.323,4,https://api.spotify.com/v1/tracks/6baeV3RT4kpivo327DC3AM,audio_features,spotify:track:6baeV3RT4kpivo327DC3AM,0.259
95,96,今夜このまま,Aimyon,244550,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3,0.0254,https://api.spotify.com/v1/audio-analysis/6kKvmT4i0Dercz6f3kftg3,0.441,238093,0.852,6kKvmT4i0Dercz6f3kftg3,0.0,1,0.0862,-3.595,1,0.0383,104.855,4,https://api.spotify.com/v1/tracks/6kKvmT4i0Dercz6f3kftg3,audio_features,spotify:track:6kKvmT4i0Dercz6f3kftg3,0.64
96,97,Crazy Over You,BLACKPINK,243303,https://open.spotify.com/track/7qq0EOPW4RRlqdvMBmdd73,0.0383,https://api.spotify.com/v1/audio-analysis/7qq0EOPW4RRlqdvMBmdd73,0.805,161947,0.66,7qq0EOPW4RRlqdvMBmdd73,8.66e-05,4,0.189,-5.393,1,0.0762,114.951,4,https://api.spotify.com/v1/tracks/7qq0EOPW4RRlqdvMBmdd73,audio_features,spotify:track:7qq0EOPW4RRlqdvMBmdd73,0.545
97,98,366日,HY,242531,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,0.675,https://api.spotify.com/v1/audio-analysis/22aZD7yaGYfhgCYazL4nbc,0.378,352507,0.426,22aZD7yaGYfhgCYazL4nbc,0.0,8,0.207,-7.314,1,0.0308,152.03,4,https://api.spotify.com/v1/tracks/22aZD7yaGYfhgCYazL4nbc,audio_features,spotify:track:22aZD7yaGYfhgCYazL4nbc,0.184
98,99,ハッピーエンド,back number,242492,https://open.spotify.com/track/0ssEfLe9aqPhMmLXKqBw6J,0.047,https://api.spotify.com/v1/audio-analysis/0ssEfLe9aqPhMmLXKqBw6J,0.359,314147,0.648,0ssEfLe9aqPhMmLXKqBw6J,2.43e-06,6,0.16,-3.36,0,0.0373,78.308,4,https://api.spotify.com/v1/tracks/0ssEfLe9aqPhMmLXKqBw6J,audio_features,spotify:track:0ssEfLe9aqPhMmLXKqBw6J,0.336
99,100,Teenager Forever,King Gnu,237035,https://open.spotify.com/track/1jtBcfrVYDtykjyM66hroR,0.0676,https://api.spotify.com/v1/audio-analysis/1jtBcfrVYDtykjyM66hroR,0.498,189080,0.92,1jtBcfrVYDtykjyM66hroR,0.0,0,0.342,-3.546,1,0.109,114.901,4,https://api.spotify.com/v1/tracks/1jtBcfrVYDtykjyM66hroR,audio_features,spotify:track:1jtBcfrVYDtykjyM66hroR,0.702
100,101,打上花火,DAOKO,235225,https://open.spotify.com/track/4IouQaO9GkaHC7AtMErdSa,0.288,https://api.spotify.com/v1/audio-analysis/4IouQaO9GkaHC7AtMErdSa,0.625,289578,0.668,4IouQaO9GkaHC7AtMErdSa,0.0,6,0.107,-4.315,1,0.0249,95.968,4,https://api.spotify.com/v1/tracks/4IouQaO9GkaHC7AtMErdSa,audio_features,spotify:track:4IouQaO9GkaHC7AtMErdSa,0.292
101,102,Slow & Easy,HIRAIDAI,235161,https://open.spotify.com/track/4b5oBON2DgamONUxvP4JyQ,0.634,https://api.spotify.com/v1/audio-analysis/4b5oBON2DgamONUxvP4JyQ,0.663,215120,0.807,4b5oBON2DgamONUxvP4JyQ,0.0,0,0.0972,-4.229,1,0.0441,77.971,4,https://api.spotify.com/v1/tracks/4b5oBON2DgamONUxvP4JyQ,audio_features,spotify:track:4b5oBON2DgamONUxvP4JyQ,0.767
102,103,Baby I'm a star,NiziU,234225,https://open.spotify.com/track/0MP1URfhXWBOtEmeV32SxU,0.0567,https://api.spotify.com/v1/audio-analysis/0MP1URfhXWBOtEmeV32SxU,0.73,159493,0.985,0MP1URfhXWBOtEmeV32SxU,0.0151,7,0.199,-1.394,1,0.0443,153.921,4,https://api.spotify.com/v1/tracks/0MP1URfhXWBOtEmeV32SxU,audio_features,spotify:track:0MP1URfhXWBOtEmeV32SxU,0.96
103,104,turn over?,Mr.Children,233839,https://open.spotify.com/track/4iLUPXEEu3NfwZLmqmDqwF,0.303,https://api.spotify.com/v1/audio-analysis/4iLUPXEEu3NfwZLmqmDqwF,0.685,205476,0.803,4iLUPXEEu3NfwZLmqmDqwF,4.55e-06,10,0.198,-7.448,0,0.0274,129.978,4,https://api.spotify.com/v1/tracks/4iLUPXEEu3NfwZLmqmDqwF,audio_features,spotify:track:4iLUPXEEu3NfwZLmqmDqwF,0.888
104,105,トリコ,Nissy,227234,https://open.spotify.com/track/7H5uStZMOGpcVw7eW0eyTi,0.0851,https://api.spotify.com/v1/audio-analysis/7H5uStZMOGpcVw7eW0eyTi,0.63,232440,0.8,7H5uStZMOGpcVw7eW0eyTi,0.0,2,0.0618,-3.427,1,0.036,90.02,4,https://api.spotify.com/v1/tracks/7H5uStZMOGpcVw7eW0eyTi,audio_features,spotify:track:7H5uStZMOGpcVw7eW0eyTi,0.717
